1,15,15,22,18,18,24,18,31,19,9,28,30,45,33,48.5,64,37,26,59,99,93,139,101,266,145,248,190,256,145,197,199,104,139,130,120,39,76,75,50,17,23,18,12,0,4,3,7,2,2,2,0
0,7,6,5,2,2,1,2,10,4,5,5,5,5,7,9,11,4,2,11,0,42,12,1,6,11,21,19,39,0,0,9,13,14,22,68,13,4,4,9,0,6,2,6,2,0,7,3,0,0,0,3
0,0,2,0,9,5,0,8,5,0,2,16,6,6,18,24,30,19,0,1,1,22,42,27,14,12,93,0,0,5,7,44,0,1,4,0,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0
0,0,80,51,39,57,0,48,0,7,15,43,45,32,15,30.5,46,52,4,28,32,40,27,3,20,7,12,1,0,35,0,53,3,34,99,18,25,0,34,65,2,24,45,37,35,0,11,73,0,8,26,0
0,0,54,32,57,10,20,16,16,37,7,12,15,11,6,12.5,19,0,0,0,16,3,10,8,0,3,24,0,15,30,19,7,18,26,33,25,23,17,24,8,4,16,11,24,14,29,11,0,0,5,0,27
0,7,6,4,5,2,10,3,5,5,12,5,9,8,6,9.5,13,6,2,4,2,3,2,1,6,3,0,5,7,7,3,3,5,13,11,8,4,8,8,5,3,5,11,11,10,6,7,4,3,5,0,0
0,11,0,19,9,6,3,2,5,13,0,9,11,25,2,8,14,5,8,10,0,26,1,3,8,12,36,11,39,32,33,48,19,94,15,41,2,62,0,13,9,4,36,0,21,11,18,28,0,8,6,4
0,4,6,15,6,0,6,5,4,0,1,5,0,13,2,5.5,9,15,0,11,3,29,0,0,23,12,8,0,16,23,17,7,0,17,0,16,4,0,9,3,0,12,0,5,0,1,5,0,6,0,5,0
3,12,7,36,32,35,14,26,20,7,26,65,26,107,27,88.5,150,27,78,40,51,108,53,0,22,273,439,0,57,396,248,104,27,0,234,191,0,0,37,60,0,5,13,39,30,11,5,22,13,4,1,0
0,0,3,0,3,0,2,0,0,0,1,4,1,6,1,1,1,0,0,2,0,0,1,0,4,8,9,1,6,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1
8,140,140,221,178,95,169,140,93,88,110,151,83,113,165,193.5,222,107,128,133,50,379,285,274,297,209,275,256,155,116,72,150,137,47,87,37,3,29,20,21,20,9,15,22,23,0,11,63,32,16,4,0
0,3,4,3,1,3,8,4,13,0,7,2,14,1,3,18.5,34,45,8,34,22,24,12,24,16,0,33,6,40,11,43,14,11,16,11,20,8,8,11,0,2,0,13,10,1,1,0,3,2,7,0,3
2,3,7,18,24,9,16,13,4,9,7,4,11,21,4,10.5,17,0,2,5,4,8,2,2,2,6,11,2,0,32,6,4,10,6,4,11,0,18,2,17,1,18,0,10,16,0,21,9,0,4,0,0
0,59,96,47,96,42,40,41,22,23,32,51,18,27,54,56.5,59,18,21,27,16,20,69,25,46,45,72,38,0,33,13,36,46,26,42,0,23,34,19,26,8,9,0,25,0,6,14,0,9,15,6,11
0,9,21,15,48,0,40,0,67,0,4,36,52,58,22,24.5,27,59,0,80,0,110,46,0,103,0,71,0,93,167,170,169,0,147,93,139,25,16,45,44,6,13,16,16,1,3,7,10,17,0,0,0
0,0,12,2,3,10,2,12,0,11,19,13,0,34,9,22.5,36,20,0,43,0,67,34,82,0,128,42,0,0,140,45,91,42,0,80,0,35,0,18,25,1,16,9,0,19,0,10,9,6,0,5,2
0,0,0,30,21,27,3,14,17.5,21,0,18,0,29,0,16.5,33,21,1,12,0,52,6,12,0,117,28,6,19,0,0,70,0,0,43,6,0,0,0,36,0,7,0,30,0,3,0,33,0,0,9,0
0,0,0,16,6,0,5,4,0,6,5,10,18,1,1,26,51,0,1,17,23,24,36,26,38,42,37,11,21,50,0,30,22,10,14,11,8,5,2,0,4,1,3,0,0,2,8,0,0,4,0,2
6,0,24,33,6,18,31,17,42,48,31,113,17,116,88,69.5,51,31,0,17,18,140,250,41,0,0,541,0,0,0,0,0,106,74,45,215,46,64,12,9,21,8,0,39,2,5,2,12,6,3,4,6
3,5,7,10,4,8,7,6,7,8,7,7,7,11,9,12,15,23,8,15,13,34,27,40,58,90,69,85,96,89,47,95,73,41,56,58,38,20,6,15,3,7,2,5,2,3,3,2,1,0,1,0
2,9,6,4,6,8,4,4,2,7,9,15,10,18,14,14,14,17,4,0,5,8,13,5,8,2,32,16,19,22,8,17,18,8,20,6,13,2,3,6,1,5,5,7,3,5,7,1,3,0,0,0
2,4,13,4,12,7,4,13,8,6,10,29,11,19,18,14.5,11,19,10,0,12,20,30,0,19,56,27,36,12,39,44,0,27,16,12,6,5,6,7,5,0,6,2,2,1,0,8,2,0,2,0,2
2,7,18,5,14,0,17,8,5,5,0,11,0,16,6,13,20,0,4,13,0,20,33,1,11,10,39,13,3,2,17,3,9,16,7,2,5,4,8,0,2,4,7,4,3,4,4,12,0,5,8,0
