id,district,incidence,rain,temp,pop_den,population
1420,Nuwara Eliya,8.108108108,166.16,28.74545455,425.0430787,740000
1421,Polonnaruwa,19.09307876,110.72,32.84070796,127.2395991,419000
1422,Puttalam,15.18987342,121.344,19.87128713,257.1614583,790000
1423,Ratnapura,40.81632653,163.296,33.99082569,344.1221374,1127000
1424,Trincomalee,20.1511335,108.9709091,36.98850575,145.5812248,397000
1425,Vavuniya,61.45251397,265.264,37.3030303,91.00152517,179000
1426,Ampara,4.431314623,398.9305263,31.57142857,152.7871812,677000
1427,Anuradhapura,13.43784994,268.144,33.92340426,124.3905836,893000
1428,Badulla,41.46919431,335.1927273,28.05263158,295.0017476,844000
1429,Batticaloa,57.3012939,423.5686957,35.46341463,205.4690467,541000
1430,Colombo,323.7894737,518.22,24.95,3397.711016,2375000
1431,Galle,120.0733272,507.3428571,26.83333333,660.4116223,1091000
1432,Gampaha,117.6720476,469.38,23.37777778,1697.188176,2354000
1433,Hambantota,97.13375796,252.0685714,23.125,240.7052511,628000
1434,Jaffna,127.3031826,191.37,11.36363636,582.4390244,597000
1435,Kalutara,94.4,573.5828571,23.88679245,782.2277847,1250000
1436,Kandy,108.7570621,338.0463158,31.83870968,729.8969072,1416000
1437,Kegalle,81.30081301,542.0228571,36.07142857,508.5646781,861000
1438,Kilinochchi,116.6666667,232.7781818,24.86363636,93.82329945,120000
1439,Kurunegala,33.77563329,336.977561,33.21118012,344.269103,1658000
1440,Mannar,19.23076923,257.4442105,18.89855072,52.10420842,104000
1441,Matale,23.90438247,293.655,33.5,251.8815855,502000
1442,Matara,86.02150538,385.3090909,26.5,652.3772408,837000
1443,Moneragala,33.89830508,311.2408163,33.36842105,83.70278418,472000
1444,Mullaitivu,21.27659574,273.9157895,34.25,35.91899121,94000
1445,Nuwara Eliya,20.27027027,463.76,30.10909091,425.0430787,740000
1446,Polonnaruwa,50.11933174,312.2133333,32.77876106,127.2395991,419000
1447,Puttalam,29.11392405,345.9072,19.53465347,257.1614583,790000
1448,Ratnapura,56.78793256,638.2144,34.52293578,344.1221374,1127000
1449,Trincomalee,15.11335013,337.2545455,37.29885057,145.5812248,397000
1450,Vavuniya,106.1452514,272.768,35.5,91.00152517,179000
1451,Ampara,4.431314623,338.1536842,31.47619048,152.7871812,677000
1452,Anuradhapura,32.47480403,386.028,31.73617021,124.3905836,893000
1453,Badulla,63.98104265,284.3781818,29.43157895,295.0017476,844000
1454,Batticaloa,72.08872458,419.9373913,34.52439024,205.4690467,541000
1455,Colombo,414.7368421,362.82,25.55,3397.711016,2375000
1456,Galle,135.6553621,308.1771429,25.75925926,660.4116223,1091000
